areaName,Borough,areaType,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03
Morningside Heights,Manhattan,neighborhood,1695,1800,2000,1998,2025,2095,2100,1888,1810,,,,,2195,2195,2173,2325,2350,2150,2250,2250,2250,1950,,,2050,2200,2296,2950,2675,2550,2498,,,,2050,2000,2448,2348,2395,2475,2590,2595,2595,2595,2875,2775,2775,3325,3225,3358,3478,3495,3550,3580,3580,3515,3450,3425,3370,2950,3260,3130,3390,3390,3390,3335,3390,2973,3140,2800,2800,2900,3173,3092,3170,3118,3240,3250,3100,3098,2945,2848,2800,2765,2695,2695,2775,2775,2500,2600,2745,2900,2850,2800,2825,2800,2695,2700,2700,2750,2775,2750,2575,2675,2500,2500,2500,2850,2725,2788,2849,2800,2850,3000,3050,3000,3196,3831,3831,3000,3000,3242,2998,3000,3000,2595,2635,2591,2700,2375,2700,2841,2650,2900,3143,3125,2900,2500,2575,2475,3295,3298,3200,3198,3298,3298,4236,3248,3195,3000,3200,3125,2998,3300,3275,3300,4108,3300,3950,3900,3300,3225,3698,3698,3175,3600,4061,3973,3800,4700
Morris Heights,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250,1250,1295,1295,1295,,,,,,,,,,,,,1350,,,,,,1438,1525,1473,,1413,1425,,,,1545,1535,1650,1650,1650,1600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1913
Morris Park,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1350,,,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1308,1300,1325,1413,,,,1450,1450,1450,1450,1450,1450,1488,1500,1500,1500,1500,1500,1500,1500,1500,1550,1575,1575,1575,1575,1575,1575,1575,1600,1575,1550,,,,1625,1563,1650,,,1600,1600,1600,1600,1625,1663,1649,1650,,,,,,,,,,,,,1800,1724,1714,,,,,,1675,,,,,1749,1850,,,,,,,,,,,,,,,,,,,1900,1875,1899,,,,,,,,,,
Morrisania,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mott Haven,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1700,1700,1700,1700,1550,,,,,,,,,,,1500,1550,1800,1638,1696,,,,,1900,1550,1575,1825,1800,1950,1825,1850,1850,1819,2050,2050,2000,2000,1863,1825,1713,1788,1850,1960,2025,1980,2025,1960,1925,1900,2096,2256,2203,2150,2191,2340,2350,2295,2200,2200,2271,1825,2338,2250,2000,2000,2100,2100,2100,2100,2025,2025,2275,2100,2150,2250,2300,2300,2383,2250,2250,2160,2325,2300,2300,2300,2300,2585,2695,2420,2450,2500,2695,2600,2490,2420,2542,2860,2849,2864,2860,2925,2950,2950,2917,2995,3016,3038,3050,3044,2944
NYC,,city,2500,2500,2500,2595,2600,2600,2664,2695,2717,2700,2695,2695,2650,2650,2695,2700,2700,2800,2795,2850,2895,2900,2900,2875,2850,2850,2900,2900,2900,2870,2850,2850,2900,2890,2875,2897,2850,2900,2950,2900,2895,2850,2850,2903,2900,2875,2850,2862,2850,2850,2850,2900,2900,2850,2750,2750,2700,2685,2650,2700,2750,2750,2750,2775,2750,2795,2795,2800,2795,2750,2700,2750,2800,2800,2800,2825,2850,2842,2800,2786,2750,2745,2699,2700,2650,2600,2600,2607,2600,2600,2595,2700,2695,2648,2585,2595,2571,2550,2595,2600,2599,2600,2600,2600,2550,2500,2495,2495,2500,2550,2595,2650,2650,2695,2695,2700,2725,2725,2700,2718,2800,2850,2850,2900,2790,2700,2650,2500,2499,2400,2400,2395,2350,2395,2350,2395,2400,2406,2460,2495,2500,2450,2450,2500,2650,2745,2800,3000,3100,3200,3250,3250,3266,3250,3200,3222,3300,3350,3400,3525,3500,3500,3495,3495,3425,3358,3295,3350,3350,3400,3450
New Hyde Park,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nolita,Manhattan,neighborhood,2650,2595,2495,2650,2500,2600,2625,2795,2825,2900,2700,2750,2800,2863,2725,2950,2575,2400,3023,3085,3085,2575,2875,2875,3248,3345,3295,3298,3470,3395,3345,3298,3000,3098,3000,3048,3095,3000,3095,3095,3275,3295,3298,3295,3295,2500,3198,3063,3000,2985,2950,3200,3098,3295,3395,3450,3400,3325,3395,3395,3495,3395,3400,3595,3364,3395,3295,3195,3200,3395,3295,3100,3295,3295,3450,3600,3598,3595,3398,3478,3395,3350,3350,3050,3350,3395,3395,3395,3395,3200,3198,3295,3173,3000,3085,3150,3150,3095,3175,3050,3300,3473,3395,3225,3100,3100,3200,3243,3293,3310,3300,3411,3500,3502,3375,3500,3350,3313,3116,3200,3200,3448,3368,3200,3100,2995,2900,2785,2694,2694,2694,2694,2595,2500,2525,2600,2852,2900,3395,3460,3595,3595,3595,3500,3800,4050,4195,4245,4323,3998,4123,4095,4295,4295,4150,4250,3995,4258,4195,4195,4195,4000,4173,4250,4295,3995,3795,4200,4395,4495,4450
North Brooklyn,Brooklyn,submarket,2300,2300,2300,2350,2358,2500,2500,2500,2500,2550,2544,2550,2544,2500,2782,2757,2700,2800,2782,2550,2700,2700,2700,2800,2850,2862,2825,2867,2950,2900,2825,3000,3100,3050,3000,3000,2900,2855,2850,2850,2900,3000,3100,2980,2900,2899,2900,2875,2876,2897,2889,2900,2972,3022,3100,3196,3020,2975,3000,3000,2944,2980,2912,2979,2843,2999,3000,2995,2900,3000,2999,2995,3025,2931,2895,2857,2800,2800,2925,2900,2800,2897,2885,2887,2850,2845,2840,2795,2700,2800,2783,2795,2800,2750,2658,2667,2700,2700,2700,2700,2700,2700,2700,2728,2600,2658,2665,2665,2700,2750,2775,2899,2850,2850,2885,3150,3200,3154,3000,3120,3200,3248,3200,3200,3050,2850,2795,2744,2650,2600,2600,2599,2500,2500,2500,2500,2500,2599,2850,3201,3250,3000,3250,3413,3650,3500,3500,3750,3700,3850,4000,3976,3916,3974,3855,4000,4094,4150,4000,4000,4000,4045,4000,4101,4097,4135,4000,3997,4000,4123,4000
North Corona,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1475,1550,,,1575,1525,,,,,,,1650,,,,,,,,,,,,,,,,,,,,,,,1550,1610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2625,,
Northeast Queens,Queens,submarket,1325,1350,1375,1375,1350,1350,1350,1375,1338,1338,1375,1363,1338,1300,1300,1299,1300,1297,1350,1375,1350,1300,1300,1300,1325,1325,1400,1399,1400,1400,1450,1375,1375,1400,1400,1413,1350,1400,1395,1400,1450,1450,1450,1450,1450,1450,1500,1450,1450,1495,1500,1500,1540,1575,1600,1600,1600,1625,1600,1600,1550,1550,1550,1595,1600,1600,1600,1600,1650,1695,1695,1650,1693,1700,1700,1750,1750,1725,1750,1700,1695,1695,1695,1700,1650,1700,1700,1700,1700,1700,1700,1750,1700,1725,1725,1700,1700,1725,1750,1750,1725,1750,1750,1750,1725,1700,1700,1725,1750,1795,1750,1790,1783,1800,1799,1800,1800,1800,1786,1750,1752,1775,1800,1800,1800,1795,1800,1775,1755,1750,1750,1750,1750,1725,1727,1750,1750,1750,1750,1750,1795,1795,1798,1800,1825,1800,1850,1893,1900,1913,1945,1995,1975,1900,1900,1900,1895,1925,1900,1900,2000,2000,2100,2100,2131,2150,2175,2199,2150,2100,2150
Northwest Brooklyn,Brooklyn,submarket,1975,1975,1975,2000,2100,2200,2250,2250,2365,2300,2152,2150,2150,2195,2260,2300,2300,2350,2400,2500,2500,2500,2400,2450,2500,2500,2500,2500,2500,2500,2500,2563,2585,2600,2600,2700,2600,2700,2750,2700,2700,2700,2699,2700,2700,2650,2550,2600,2645,2600,2650,2700,2750,2712,2700,2700,2650,2650,2685,2675,2700,2675,2700,2750,2750,2700,2700,2700,2800,2750,2700,2695,2731,2726,2800,2800,2800,2800,2798,2800,2800,2800,2750,2700,2722,2700,2750,2750,2800,2800,2800,2800,2795,2796,2786,2800,2796,2750,2765,2770,2892,2932,2950,2956,2800,2850,2874,2949,2900,2950,2943,3050,3095,3100,3232,3183,3200,3150,3138,3165,3248,3150,3200,3152,3028,2950,2850,2700,2620,2596,2575,2600,2650,2675,2750,2850,2900,2900,3000,3150,3400,3425,3514,3600,3750,3750,3750,3893,3950,3940,3950,3929,3898,3821,3850,3821,3900,3879,3900,3952,3995,3985,3995,4000,3965,3850,3800,3823,3900,3950,4000
Northwest Queens,Queens,submarket,1550,1595,1603,1650,1754,2000,1823,1846,2136,2400,2390,1800,1600,1898,1750,1825,1900,1995,1845,1998,2000,1900,2325,2050,1850,2800,2800,2800,2755,2725,2723,2745,2595,2585,2302,2300,2200,2100,2000,2000,2088,2075,2150,2400,2530,2200,2200,2100,2100,2000,2000,2150,2100,2200,2100,2100,1995,2088,2000,1995,2000,2000,1950,2000,2000,2100,2100,2150,2100,2100,2000,2100,2100,2100,2150,2200,2200,2250,2200,2338,2300,2200,2200,2100,2100,2000,2000,2000,1995,2000,2000,2150,2095,2000,2025,2050,2000,2000,2000,2000,2000,2000,2013,2100,2100,2000,2000,2045,2100,2100,2100,2150,2150,2100,2100,2195,2223,2349,2304,2200,2304,2495,2306,2500,2350,2100,2100,2000,1975,1900,1895,1875,1850,1850,1800,1875,1900,2000,2050,2000,2100,2100,2075,2068,2100,2150,2295,2300,2500,2700,2987,2995,3000,2900,2800,2800,2947,2800,2843,3040,3150,3150,3165,3100,2995,2965,2990,3043,2950,2950,2900
Norwood,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1188,,,1300,1300,1300,1350,1300,1300,1300,1350,1350,1350,1350,1350,1400,1363,1350,1375,1375,1398,1400,1395,1450,1425,1350,1413,1398,1450,1450,1495,1500,1400,,1490,1413,,,,,,,1495,1525,1500,1483,1450,1475,1495,1400,1500,1550,1599,1600,1625,1575,1613,1598,1598,1550,,,,1525,,1513,,,,,1550,1550,,,,,,1650,1575,1573,1650,1550,,,1673,1650,1650,1650,1525,1748,1837,,,,,1862,1688,1650,1850,,,,1863,1875,1995,1800,1988,,1995,1948,1774
Oakland Gardens,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1750,,,,,1700,,,,,1700,,1675,,1673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1727,1745,,,,,,,1850,1885,1895,1895,1895,1950,,,,2099,2100,,1998,,,2100,1898,1900,2045,,2100,2100,,,,,,,2150
Ocean Parkway,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Old Mill Basin,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ozone Park,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Park Slope,Brooklyn,neighborhood,1850,1850,1800,1850,1900,2000,2000,2000,2200,2300,2000,2000,1950,2150,2225,2150,2100,2175,2200,2250,2350,2450,2450,2400,2400,2300,2350,2398,2300,2300,2300,2300,2300,2300,2350,2400,2400,2300,2288,2200,2200,2400,2400,2450,2450,2450,2450,2400,2400,2373,2300,2395,2350,2400,2463,2475,2500,2500,2375,2375,2550,2500,2500,2500,2500,2450,2475,2500,2500,2498,2500,2500,2550,2550,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2495,2500,2499,2450,2495,2500,2500,2500,2500,2450,2400,2400,2450,2448,2495,2495,2500,2500,2463,2500,2500,2624,2500,2600,2550,2500,2500,2600,2675,2695,2700,2700,2600,2600,2585,2662,2650,2595,2595,2595,2595,2500,2495,2430,2395,2400,2350,2400,2400,2400,2395,2400,2495,2500,2500,2648,2750,2800,2800,2700,2800,2875,2900,3000,3250,3000,3125,3200,3250,3000,3100,3100,3146,3175,3250,3400,3463,3300,3500,3400,3400,3450,3250,3400,3400,3300,3500
Parkchester,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1025,,,,,,,,,1195,1195,1225,1200,1195,1195,,,,,,,1225,1216,1210,1255,,,,,,,,,,,,1300,1350,1425,1425,,,,,1400,1340,1324,,1395,1360,1395,1370,1415,1443,,1446,1449,1475,1494,,1475,1483,1475,1480,1502,,,,1538,1550,1600,1600,,,,,,,,,,,,,,,,,,,,,,1600,1600,,1535,1600,,,,,,,1575,1600,,,,,,,,,,,,,,,,,,,,
Pelham Bay,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1300,1300,,,,,,,,,,,,,,,,,,1500,1500,,,,,,,1450,1500,,,,,,,,,,,,,1625,1700,,1775,,,,1675,,,,,,,,,,,,,,,,,,,,,,,,,,,,1695,,1695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pelham Gardens,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pelham Parkway,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1650,,1650,1575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1550,,,1799,,,,,,1688,1700,1725,1792,1717,1824,1750,1750,1750,1700,1750,1750,1849,,,1700,1675,,,,,,1700,1750,,1698,1695,1700,1700,1750,1813,1835,1750,1750,1725,1713,1875,1900,1998,2000,1850,2150,2000,,,1948,1849,1799
Pomonok,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Port Morris,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prospect Heights,Brooklyn,neighborhood,1650,1600,1625,1773,1950,1925,1850,1800,1800,1950,1995,1525,1750,,,2075,2050,2100,2000,2075,2500,2150,,2213,1950,1795,1795,2150,2300,2300,2150,2155,,1950,1988,2100,2050,2250,2150,2125,2125,2138,2200,2250,2250,2250,2250,2225,2250,2250,2200,2250,2300,2300,2263,2288,2250,2300,2273,2250,2300,2350,2350,2425,2400,2350,2300,2300,2450,2425,2450,2400,2350,2500,2525,2550,2500,2550,2375,2400,2500,2475,2400,2400,2350,2395,2485,2600,2670,2700,2750,2688,2700,2700,2680,2680,2599,2680,2680,2475,2680,2680,2680,2500,2500,2441,2457,2500,2550,2550,2525,2613,2550,2700,2700,2590,2650,2690,2500,2650,2690,2725,2688,2700,2700,2700,2652,2685,2500,2500,2500,2500,2600,2550,2500,2500,2669,2663,2700,2725,2800,3000,3300,3550,3800,3800,3850,3985,4200,4275,4273,4125,4098,4000,4060,3995,3990,3995,4013,4000,4000,4300,4350,4295,4273,4200,4300,4295,4000,4195,4190
Prospect Lefferts Gardens,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1243,1325,1350,1350,,,1350,1400,,,,,,1575,1600,1550,,1400,1500,1400,1450,1535,1500,1500,1550,1500,1525,1575,1595,1500,1525,1500,1568,1595,1600,1600,1575,1600,1600,1623,1625,1600,1650,1736,1690,1675,1699,1750,1900,1925,1900,1892,1850,1846,1785,1800,1800,1750,1750,1795,1795,1800,1800,1834,1763,1842,1817,1800,1800,1834,1950,1950,2000,1995,1950,1950,1925,1938,1825,1800,1850,1925,1994,1950,1995,1995,2150,1995,2050,1995,2000,2100,1895,1913,1939,1950,1925,1850,1800,1795,1795,1750,1725,1798,1750,1746,1800,1850,1895,1850,1925,2025,1995,1995,2000,2068,1938,2100,2200,2250,2699,2699,2150,2285,2150,2287,2525,2463,2500,2398,2520,2795,2875,2475,2700,2645,2500,2400,2400,2650,2495
Prospect Park,Brooklyn,submarket,1800,1800,1750,1800,1895,1875,1900,1850,2000,2100,1800,1787,1850,2100,2100,2000,2100,2100,2100,2125,2300,2300,2350,2325,2300,2300,2300,2300,2200,2200,2100,2000,2100,2100,2000,2200,2100,2200,2150,2150,2150,2300,2300,2300,2300,2300,2300,2250,2250,2200,2200,2250,2250,2300,2300,2300,2300,2300,2200,2225,2400,2300,2300,2395,2300,2200,2200,2275,2350,2350,2395,2350,2400,2400,2400,2446,2400,2363,2350,2300,2300,2300,2300,2300,2300,2300,2300,2350,2354,2350,2350,2400,2398,2295,2208,2237,2300,2300,2300,2300,2317,2350,2350,2400,2335,2275,2300,2350,2350,2350,2300,2400,2450,2500,2400,2400,2350,2400,2400,2450,2500,2495,2500,2495,2495,2400,2355,2295,2250,2250,2200,2197,2200,2200,2200,2200,2300,2350,2450,2450,2600,2550,2500,2350,2600,2775,2775,2950,3000,2950,3068,3098,3200,3000,2900,2875,3000,2990,3098,3250,3214,3144,3245,3156,3200,3250,3100,3140,3096,3100,3250
Prospect Park South,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1190,,,,,1325,,,,1263,,,1425,1325,1350,1450,1550,1550,,2300,2275,1900,1950,2181,2100,2186,1900,1950,1595,1650,1598,1650,1773,1750,1650,1650,1650,1650,1650,1900,1700,1850,1900,1825,1950,1850,1890,1800,1795,1795,1850,1800,1750,1725,1650,1675,1775,1875,1750,1750,1750,1780,1750,1795,1795,1798,1800,1750,1850,2063,1919,1990,1800,1773,1750,1795,1795,1788,1795,1800,1799,1875,1900,1900,1898,2050,1950,1800,2095,1948,1850,1925,1958,1900,1895,1900,1813,1800,1850,1800,1738,1750,1760,1778,1793,1895,1909,1995,1950,2150,1980,1937,1875,1895,2149,2118,2300,2050,2650,2800,2225,2263,2250,2350,2275,2400,2237,2275,2300,2250,2175,2448,2395,2600,2625,2448,2500,2450,2750,2448
Queens,Queens,borough,1405,1450,1500,1500,1378,1375,1400,1400,1400,1400,1400,1363,1350,1350,1500,1563,1650,1675,1550,1650,1650,1550,1573,1600,1600,2513,2583,2300,2600,2595,2500,2450,2072,1950,1825,1863,1675,1750,1650,1675,1795,1850,1950,2000,2100,2023,1870,1800,1785,1775,1800,1800,1750,1850,1800,1875,1825,1850,1800,1800,1800,1800,1800,1800,1850,1875,1875,1900,1875,1850,1850,1875,1875,1900,1900,1975,1995,1999,1950,2000,2000,1950,1950,1950,1900,1895,1900,1895,1875,1875,1875,1950,1900,1900,1900,1875,1875,1875,1900,1900,1900,1900,1900,1900,1925,1900,1900,1900,1900,1900,1907,1950,1973,1950,1950,1970,1980,1975,1995,1950,1975,2000,2050,2100,2000,1957,1950,1900,1895,1850,1850,1850,1800,1800,1800,1825,1850,1900,1900,1900,1950,1950,1950,1950,1975,1990,1995,2000,2100,2200,2281,2295,2250,2300,2300,2300,2295,2300,2300,2400,2500,2500,2500,2500,2500,2500,2500,2500,2495,2500,2550
Queens Village,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1913,1700,,,1920,,,,,,,
Red Hook,Brooklyn,neighborhood,,,,,,,,,,1450,1488,,,,,,,,,,,,,,,,2000,,1950,2000,,,,,,,2000,,,,,,,,,,,,,1900,2200,2400,2400,,2300,2200,2150,1895,,,,1800,2000,1900,2400,2000,2000,2200,1899,2399,2450,2450,2387,,,,2300,2200,,,,,,2200,2300,,,,2585,2499,2500,,2088,,,,,1800,,,2000,1950,2000,1875,2400,2400,,2642,2113,2150,2400,,2650,2800,2600,2625,2400,2000,,,,,,,2500,2613,2400,2300,2100,2000,2200,2250,2000,1875,2150,2425,2550,2475,1940,1950,,2025,,,,,,2775,2800,3000,3000,3100,3500,,3075,,3000,3000,3100,,,3000,3175,3100,3275,3300,3425,2650,,,
Rego Park,Queens,neighborhood,1363,1388,,1300,1350,,,,,1350,1350,1350,1350,1400,1400,,1350,1400,1400,1400,1425,1400,,1500,1513,1550,,,,,1450,1450,1450,1450,1450,1475,1600,1550,1525,1425,1400,1425,1600,1625,1650,1675,1600,1639,1613,1603,1550,1695,1725,1725,1750,1800,1825,1850,1850,1800,1900,1900,1888,1900,1899,1850,1850,1850,1785,1750,1798,1795,1900,1950,1950,1975,1950,1900,1938,2000,1987,1900,1988,2088,2050,1925,1850,1850,1850,1850,1850,1995,1925,1900,1854,1800,1798,1845,1865,1800,1795,1850,1850,1925,1885,1895,1850,1850,1844,1850,1898,1875,1850,1900,2000,1989,1950,1913,1925,1913,1867,1895,1950,1950,1950,1950,1860,1850,1850,1850,1850,1848,1825,1810,1800,1825,1832,1850,1885,1850,1875,1950,1963,1950,1975,1913,1900,1913,1975,2073,2100,2100,2095,2100,2100,2100,2200,2150,2200,2370,2200,2275,2275,2500,2500,2450,2200,2450,2800,2670,3045
Richmond Hill,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1475,1450,1400,,,,,,,,,,,,1523,,,,,,,,,,,,,,,,,,,,,,,,,,,,1650,,,1599,,,,,,,,,,,,,,,,,1613,,,,,1675,1695,1695,1695,1675,,,,1700,,1663,1725,,1713,,,,,,,,1700,,,,,,,1800,1850,,,,
Ridgewood,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,2025,2025,2025,,,,,,,,,,,,,,,,,,,,,,,,,,1600,1600,,,1525,,,,,,1600,1675,1950,1900,2000,1900,1800,1788,1799,1695,1600,1700,1750,1725,1793,1833,1900,1850,1850,1850,1800,1800,1775,1799,1800,1800,1745,1850,1975,2000,1970,1900,1898,1875,2060,2000,1850,1873,1900,1900,2050,2230,2000,1908,1875,1898,1985,1961,1950,1900,2000,1900,1999,1950,1900,1850,1800,1900,2000,2250,2049,1999,2000,1913,1859,1900,1850,1950,1900,1900,1875,1813,1899,2000,2050,2000,1999,2100,2050,2100,2250,2100,2050,2148,2200,2299,2400,2500,2500,2600,2700,2569,2500,2400,2500,2450,2500,2550,2600,2572,2600,2595,2600,2500,2450,2536,2800,2500
Riverdale,Bronx,neighborhood,1500,1500,1500,1450,1475,1500,1450,,,1475,1500,1500,1475,1450,1575,1550,1550,1475,1550,1450,1463,1475,1500,1450,1450,1450,1495,1525,1500,1500,1573,1550,1500,1500,1525,1550,1550,1600,1625,1600,1625,1600,1600,1588,1650,1650,1650,1650,1600,1600,1650,1698,1700,1700,1795,1663,1825,1738,1800,1799,1799,1838,1878,1800,1800,1813,1800,1825,1825,1800,1850,1825,1800,1775,1800,1825,1840,1800,1800,1788,1795,1773,1850,1850,1813,1795,1800,1825,1800,1800,1800,1800,1795,1763,1750,1875,1800,1800,1875,1875,1849,1875,1850,1850,1850,1800,1818,1899,1867,1850,1875,1850,1850,1900,1900,1900,1909,1900,1852,1890,1925,1850,1850,1850,1863,1900,1925,1999,1935,1925,1925,1925,1915,1880,1896,1908,1940,1938,1895,1950,1995,2075,2036,2000,2100,2100,2100,2095,2065,2288,2275,2200,2150,2150,2200,2100,2200,2200,2150,2275,2276,2225,2350,2314,2400,2400,2375,2287,2287,2175,2600
